DATE,CREACBW027SBOG
2016-10-26,1946.3594
2016-11-02,1951.928
2016-11-09,1953.8832
2016-11-16,1956.2995
2016-11-23,1955.2113
2016-11-30,1955.4971
2016-12-07,1959.4351
2016-12-14,1959.9819
2016-12-21,1961.5039
2016-12-28,1965.6065
2017-01-04,1972.2093
2017-01-11,1977.0041
2017-01-18,1981.1041
2017-01-25,1984.4109
2017-02-01,1988.4523
2017-02-08,1988.5935
2017-02-15,1992.9512
2017-02-22,1995.0447
2017-03-01,1997.8534
2017-03-08,2001.7852
2017-03-15,2005.8051
2017-03-22,2006.2987
2017-03-29,2009.601
2017-04-05,2012.0622
2017-04-12,2016.5273
2017-04-19,2018.9961
2017-04-26,2022.2014
2017-05-03,2024.5925
2017-05-10,2026.8245
2017-05-17,2027.2739
2017-05-24,2029.4169
2017-05-31,2029.6221
2017-06-07,2033.0255
2017-06-14,2034.3392
2017-06-21,2037.0527
2017-06-28,2041.6688
2017-07-05,2043.329
2017-07-12,2047.7644
2017-07-19,2049.9677
2017-07-26,2052.0381
2017-08-02,2053.1765
2017-08-09,2056.777
2017-08-16,2056.6706
2017-08-23,2057.8997
2017-08-30,2056.4501
2017-09-06,2057.8705
2017-09-13,2054.6293
2017-09-20,2055.9391
2017-09-27,2056.8317
2017-10-04,2060.9752
2017-10-11,2064.5105
2017-10-18,2068.4177
2017-10-25,2070.3734
2017-11-01,2071.7438
2017-11-08,2074.9862
2017-11-15,2078.5285
2017-11-22,2080.5453
2017-11-29,2081.7407
2017-12-06,2082.3414
2017-12-13,2084.74
2017-12-20,2086.5209
2017-12-27,2088.5305
2018-01-03,2089.2469
2018-01-10,2093.4626
2018-01-17,2096.7991
2018-01-24,2098.5604
2018-01-31,2100.1042
2018-02-07,2102.3448
2018-02-14,2104.4696
2018-02-21,2106.2765
2018-02-28,2109.1484
2018-03-07,2110.9284
2018-03-14,2113.6953
2018-03-21,2115.7289
2018-03-28,2116.7881
2018-04-04,2117.1926
2018-04-11,2118.6577
2018-04-18,2120.8322
2018-04-25,2125.0431
2018-05-02,2125.8618
2018-05-09,2128.383
2018-05-16,2130.1933
2018-05-23,2131.0197
2018-05-30,2132.6473
2018-06-06,2135.7701
2018-06-13,2142.1407
2018-06-20,2144.3273
2018-06-27,2149.3626
2018-07-04,2149.2881
2018-07-11,2151.1177
2018-07-18,2152.7897
2018-07-25,2155.5025
2018-08-01,2149.4222
2018-08-08,2147.9937
2018-08-15,2148.7232
2018-08-22,2152.2877
2018-08-29,2154.494
2018-09-05,2156.7382
2018-09-12,2159.0345
2018-09-19,2162.266
2018-09-26,2165.2316
2018-10-03,2165.7024
2018-10-10,2170.0301
2018-10-17,2170.7805
2018-10-24,2172.0555
2018-10-31,2171.0906
2018-11-07,2174.2399
2018-11-14,2176.6439
2018-11-21,2177.4629
2018-11-28,2177.9745
2018-12-05,2175.9839
2018-12-12,2180.4266
2018-12-19,2184.4312
2018-12-26,2183.7626
2019-01-02,2187.7508
2019-01-09,2189.4181
2019-01-16,2191.4919
2019-01-23,2192.2887
2019-01-30,2192.7676
2019-02-06,2195.9805
2019-02-13,2198.3334
2019-02-20,2201.3823
2019-02-27,2203.04
2019-03-06,2205.1468
2019-03-13,2207.1863
2019-03-20,2209.2297
2019-03-27,2209.6774
2019-04-03,2212.1866
2019-04-10,2214.7528
2019-04-17,2216.0488
2019-04-24,2215.9796
2019-05-01,2224.5402
2019-05-08,2226.1154
2019-05-15,2228.7592
2019-05-22,2230.9457
2019-05-29,2233.5482
2019-06-05,2233.2864
2019-06-12,2232.2774
2019-06-19,2236.5302
2019-06-26,2237.6646
2019-07-03,2238.1009
2019-07-10,2240.6229
2019-07-17,2241.8913
2019-07-24,2243.2228
2019-07-31,2247.2025
2019-08-07,2246.9094
2019-08-14,2247.655
2019-08-21,2250.121
2019-08-28,2252.5964
2019-09-04,2255.6478
2019-09-11,2259.5723
2019-09-18,2263.2802
2019-09-25,2268.6128
2019-10-02,2270.01
2019-10-09,2272.4016
2019-10-16,2277.0531
2019-10-23,2278.9465
2019-10-30,2279.9905
2019-11-06,2284.3558
2019-11-13,2287.883
2019-11-20,2291.3113
2019-11-27,2298.2639
2019-12-04,2303.4926
2019-12-11,2319.3029
2019-12-18,2318.4023
2019-12-25,2318.8627
2020-01-01,2323.9708
2020-01-08,2324.9521
2020-01-15,2328.2863
2020-01-22,2329.6832
2020-01-29,2332.9889
2020-02-05,2337.9313
2020-02-12,2340.4345
2020-02-19,2340.7084
2020-02-26,2343.3465
2020-03-04,2346.4819
2020-03-11,2348.5162
2020-03-18,2355.3612
2020-03-25,2364.3946
2020-04-01,2367.5987
2020-04-08,2370.8544
2020-04-15,2375.0328
2020-04-22,2377.5102
2020-04-29,2376.5015
2020-05-06,2378.0837
2020-05-13,2378.0162
2020-05-20,2381.3372
2020-05-27,2381.9631
2020-06-03,2383.0463
2020-06-10,2380.814
2020-06-17,2380.2878
2020-06-24,2380.8992
2020-07-01,2383.8544
2020-07-08,2386.5822
2020-07-15,2388.4069
2020-07-22,2390.0802
2020-07-29,2390.5067
2020-08-05,2391.4009
2020-08-12,2392.3564
2020-08-19,2392.7473
2020-08-26,2394.6592
2020-09-02,2394.4254
2020-09-09,2397.3058
2020-09-16,2397.8834
2020-09-23,2396.7255
2020-09-30,2398.032
2020-10-07,2399.6076
2020-10-14,2399.1718
2020-10-21,2400.6965
2020-10-28,2400.2424
2020-11-04,2400.9334
2020-11-11,2401.9888
2020-11-18,2403.461
2020-11-25,2404.2798
2020-12-02,2404.0991
2020-12-09,2404.3362
2020-12-16,2404.5626
2020-12-23,2406.7618
2020-12-30,2404.4879
2021-01-06,2409.9149
2021-01-13,2411.7212
2021-01-20,2414.6692
2021-01-27,2416.258
2021-02-03,2415.1182
2021-02-10,2417.0762
2021-02-17,2416.3484
2021-02-24,2417.3327
2021-03-03,2418.623
2021-03-10,2419.3671
2021-03-17,2419.3087
2021-03-24,2419.6743
2021-03-31,2423.0073
2021-04-07,2422.489
2021-04-14,2424.8503
2021-04-21,2425.7893
2021-04-28,2426.8098
2021-05-05,2426.7411
2021-05-12,2427.748
2021-05-19,2430.2655
2021-05-26,2432.0025
2021-06-02,2434.4938
2021-06-09,2440.478
2021-06-16,2445.5242
2021-06-23,2449.5758
2021-06-30,2448.1409
2021-07-07,2449.8072
2021-07-14,2453.8075
2021-07-21,2455.2994
2021-07-28,2460.2031
2021-08-04,2461.8281
2021-08-11,2463.0937
2021-08-18,2465.8126
2021-08-25,2469.2444
2021-09-01,2476.1869
2021-09-08,2476.4388
2021-09-15,2480.5324
2021-09-22,2484.2997
2021-09-29,2486.4848
2021-10-06,2487.6085
2021-10-13,2486.2856
2021-10-20,2491.248
2021-10-27,2496.0023
2021-11-03,2500.1604
2021-11-10,2503.1269
2021-11-17,2510.1779
2021-11-24,2513.8355
2021-12-01,2516.1714
2021-12-08,2519.6072
2021-12-15,2526.5281
2021-12-22,2529.8188
2021-12-29,2539.4018
2022-01-05,2539.006
2022-01-12,2543.7608
2022-01-19,2546.8194
2022-01-26,2549.7452
2022-02-02,2554.4549
2022-02-09,2559.3381
2022-02-16,2561.9844
2022-02-23,2566.6607
2022-03-02,2570.6203
2022-03-09,2576.2669
2022-03-16,2576.8656
2022-03-23,2587.0415
2022-03-30,2595.5856
2022-04-06,2605.5057
2022-04-13,2611.7037
2022-04-20,2615.0622
2022-04-27,2618.4895
2022-05-04,2623.5058
2022-05-11,2628.6861
2022-05-18,2633.4783
2022-05-25,2638.269
2022-06-01,2645.3637
2022-06-08,2650.2748
2022-06-15,2655.3187
2022-06-22,2659.469
2022-06-29,2668.8765
2022-07-06,2675.1603
2022-07-13,2681.0294
2022-07-20,2691.51
2022-07-27,2697.7148
2022-08-03,2707.2948
2022-08-10,2716.9533
2022-08-17,2721.2708
2022-08-24,2725.7748
2022-08-31,2733.5013
2022-09-07,2736.2753
2022-09-14,2741.8547
2022-09-21,2746.8618
2022-09-28,2751.3564
2022-10-05,2759.702
2022-10-12,2766.5958
2022-10-19,2769.994
2022-10-26,2776.7944
2022-11-02,2785.6186
2022-11-09,2789.1712
2022-11-16,2793.0172
2022-11-23,2799.2694
2022-11-30,2805.7613
2022-12-07,2861.7594
2022-12-14,2865.8171
2022-12-21,2872.7703
2022-12-28,2877.2152
2023-01-04,2876.1682
2023-01-11,2874.6268
2023-01-18,2879.3191
2023-01-25,2884.5597
2023-02-01,2890.5559
2023-02-08,2894.7125
2023-02-15,2900.8104
2023-02-22,2908.2872
2023-03-01,2914.9382
2023-03-08,2918.5837
2023-03-15,2924.0987
2023-03-22,2891.1208
2023-03-29,2886.1538
2023-04-05,2893.8654
2023-04-12,2893.9587
2023-04-19,2896.7853
2023-04-26,2901.8533
2023-05-03,2903.5444
2023-05-10,2903.848
2023-05-17,2907.4047
2023-05-24,2909.9798
2023-05-31,2913.1331
2023-06-07,2914.0934
2023-06-14,2914.0481
2023-06-21,2915.7413
2023-06-28,2917.8082
2023-07-05,2921.4732
2023-07-12,2920.9771
2023-07-19,2921.8213
2023-07-26,2922.7985
2023-08-02,2932.0344
2023-08-09,2933.7698
2023-08-16,2936.113
2023-08-23,2939.5694
2023-08-30,2935.9365
2023-09-06,2938.5868
2023-09-13,2939.7022
2023-09-20,2939.2528
2023-09-27,2941.0295
2023-10-04,2949.1382
2023-10-11,2949.8258
2023-10-18,2951.1165
2023-10-25,2951.9156
2023-11-01,2954.1339
2023-11-08,2956.6689
2023-11-15,2958.214
2023-11-22,2959.2877
2023-11-29,2961.0038
2023-12-06,2962.3743
2023-12-13,2962.8086
2023-12-20,2964.4749
2023-12-27,2963.9262
2024-01-03,2969.3144
2024-01-10,2972.2982
2024-01-17,2973.8876
2024-01-24,2975.5384
2024-01-31,2978.7488
2024-02-07,2979.1178
2024-02-14,2984.9366
2024-02-21,2985.8629
2024-02-28,2989.8606
2024-03-06,2991.4437
2024-03-13,2996.4149
2024-03-20,2996.7734
2024-03-27,3000.2139
2024-04-03,2998.7085
2024-04-10,3002.1039
2024-04-17,3004.3323
2024-04-24,3005.9231
2024-05-01,3007.1456
2024-05-08,3009.0257
2024-05-15,3007.0573
2024-05-22,3000.8977
2024-05-29,3002.307
2024-06-05,2999.8763
2024-06-12,2995.2633
2024-06-19,2995.7839
2024-06-26,2991.0213
2024-07-03,2995.7752
2024-07-10,3001.4559
2024-07-17,3000.1666
2024-07-24,2999.3716
2024-07-31,3001.0755
2024-08-07,2999.4701
2024-08-14,3003.016
2024-08-21,2998.5917
2024-08-28,2999.2855
2024-09-04,2996.7881
2024-09-11,2998.0456
2024-09-18,2998.3117
2024-09-25,3000.2661
2024-10-02,2999.6528
